 -16    -12.57      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00
 -15    -11.78      0.71      0.71      0.92      0.38      0.00      0.79      0.79      0.79
 -14    -11.00     -0.00      1.00      0.71      0.71      0.00      1.57     -1.57      1.57
 -13    -10.21     -0.71      0.71      0.38      0.92      0.00      2.36     -0.79      2.36
 -12     -9.42     -1.00     -0.00      0.00     -1.00      0.00     -3.14      0.00     -3.14
 -11     -8.64     -0.71     -0.71      0.38     -0.92      0.00     -2.36      0.79     -2.36
 -10     -7.85      0.00     -1.00      0.71     -0.71      0.00     -1.57     -1.57     -1.57
  -9     -7.07      0.71     -0.71      0.92     -0.38      0.00     -0.79     -0.79     -0.79
  -8     -6.28      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00
  -7     -5.50      0.71      0.71      0.92      0.38      0.00      0.79      0.79      0.79
  -6     -4.71     -0.00      1.00      0.71      0.71      0.00      1.57     -1.57      1.57
  -5     -3.93     -0.71      0.71      0.38      0.92      0.00      2.36     -0.79      2.36
  -4     -3.14     -1.00     -0.00      0.00     -1.00      0.00     -3.14      0.00     -3.14
  -3     -2.36     -0.71     -0.71      0.38     -0.92      0.00     -2.36      0.79     -2.36
  -2     -1.57      0.00     -1.00      0.71     -0.71      0.00     -1.57     -1.57     -1.57
  -1     -0.79      0.71     -0.71      0.92     -0.38      0.00     -0.79     -0.79     -0.79
   0      0.00      1.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00
   1      0.79      0.71      0.71      0.92      0.38      0.00      0.79      0.79      0.79
   2      1.57      0.00      1.00      0.71      0.71      0.00      1.57      1.57      1.57
   3      2.36     -0.71      0.71      0.38      0.92      0.00      2.36     -0.79      2.36
   4      3.14     -1.00      0.00      0.00      1.00      0.00      3.14     -0.00      3.14
   5      3.93     -0.71     -0.71      0.38     -0.92      0.00     -2.36      0.79     -2.36
   6      4.71     -0.00     -1.00      0.71     -0.71      0.00     -1.57      1.57     -1.57
   7      5.50      0.71     -0.71      0.92     -0.38      0.00     -0.79     -0.79     -0.79
   8      6.28      1.00     -0.00      1.00     -0.00      0.00     -0.00     -0.00     -0.00
   9      7.07      0.71      0.71      0.92      0.38      0.00      0.79      0.79      0.79
  10      7.85      0.00      1.00      0.71      0.71      0.00      1.57      1.57      1.57
  11      8.64     -0.71      0.71      0.38      0.92      0.00      2.36     -0.79      2.36
  12      9.42     -1.00      0.00      0.00      1.00      0.00      3.14     -0.00      3.14
  13     10.21     -0.71     -0.71      0.38     -0.92      0.00     -2.36      0.79     -2.36
  14     11.00     -0.00     -1.00      0.71     -0.71      0.00     -1.57      1.57     -1.57
  15     11.78      0.71     -0.71      0.92     -0.38      0.00     -0.79     -0.79     -0.79
  16     12.57      1.00     -0.00      1.00     -0.00      0.00     -0.00     -0.00     -0.00
