    -16.09    -12.64      1.00     -0.07      1.00     -0.04      0.00     -0.07     -0.07     -0.07
    -16.08    -12.63      1.00     -0.06      1.00     -0.03      0.00     -0.06     -0.06     -0.06
    -16.07    -12.62      1.00     -0.05      1.00     -0.03      0.00     -0.05     -0.05     -0.05
    -16.06    -12.61      1.00     -0.05      1.00     -0.02      0.00     -0.05     -0.05     -0.05
    -16.05    -12.61      1.00     -0.04      1.00     -0.02      0.00     -0.04     -0.04     -0.04
    -16.04    -12.60      1.00     -0.03      1.00     -0.02      0.00     -0.03     -0.03     -0.03
    -16.03    -12.59      1.00     -0.02      1.00     -0.01     -0.00     -0.02     -0.02     -0.02
    -16.02    -12.58      1.00     -0.02      1.00     -0.01      0.00     -0.02     -0.02     -0.02
    -16.01    -12.57      1.00     -0.01      1.00     -0.00     -0.00     -0.01     -0.01     -0.01
    -15.99    -12.56      1.00      0.01      1.00      0.00      0.00      0.01      0.01      0.01
    -15.98    -12.55      1.00      0.02      1.00      0.01      0.00      0.02      0.02      0.02
    -15.97    -12.54      1.00      0.02      1.00      0.01      0.00      0.02      0.02      0.02
    -15.96    -12.53      1.00      0.03      1.00      0.02      0.00      0.03      0.03      0.03
    -15.95    -12.53      1.00      0.04      1.00      0.02     -0.00      0.04      0.04      0.04
    -15.94    -12.52      1.00      0.05      1.00      0.02      0.00      0.05      0.05      0.05
    -15.93    -12.51      1.00      0.05      1.00      0.03      0.00      0.05      0.05      0.05
    -15.92    -12.50      1.00      0.06      1.00      0.03      0.00      0.06      0.06      0.06
    -15.91    -12.50      1.00      0.07      1.00      0.04      0.00      0.07      0.07      0.07
    -15.90    -12.49      1.00      0.08      1.00      0.04     -0.00      0.08      0.08      0.08
    -15.89    -12.48      1.00      0.09      1.00      0.04     -0.00      0.09      0.09      0.09
       -15    -11.78      0.71      0.71      0.92      0.38      0.00      0.79      0.79      0.79
    -14.09    -11.07      0.07      1.00      0.73      0.68      0.00      1.50      1.50      1.50
    -14.08    -11.06      0.06      1.00      0.73      0.68      0.00      1.51      1.51      1.51
    -14.07    -11.05      0.05      1.00      0.73      0.69      0.00      1.52      1.52      1.52
    -14.06    -11.04      0.05      1.00      0.72      0.69      0.00      1.52      1.52      1.52
    -14.05    -11.03      0.04      1.00      0.72      0.69      0.00      1.53      1.53      1.53
    -14.04    -11.03      0.03      1.00      0.72      0.70      0.00      1.54      1.54      1.54
    -14.03    -11.02      0.02      1.00      0.72      0.70      0.00      1.55      1.55      1.55
    -14.02    -11.01      0.02      1.00      0.71      0.70      0.00      1.56      1.56      1.56
    -14.01    -11.00      0.01      1.00      0.71      0.70     -0.00      1.56      1.56      1.56
    -13.99    -10.99     -0.01      1.00      0.70      0.71      0.00      1.58     -1.56      1.58
    -13.98    -10.98     -0.02      1.00      0.70      0.71      0.00      1.59     -1.56      1.59
    -13.97    -10.97     -0.02      1.00      0.70      0.72      0.00      1.59     -1.55      1.59
    -13.96    -10.96     -0.03      1.00      0.70      0.72      0.00      1.60     -1.54      1.60
    -13.95    -10.96     -0.04      1.00      0.69      0.72     -0.00      1.61     -1.53      1.61
    -13.94    -10.95     -0.05      1.00      0.69      0.72      0.00      1.62     -1.52      1.62
    -13.93    -10.94     -0.05      1.00      0.69      0.73      0.00      1.63     -1.52      1.63
    -13.92    -10.93     -0.06      1.00      0.68      0.73      0.00      1.63     -1.51      1.63
    -13.91    -10.92     -0.07      1.00      0.68      0.73      0.00      1.64     -1.50      1.64
    -13.90    -10.92     -0.08      1.00      0.68      0.73      0.00      1.65     -1.49      1.65
    -13.89    -10.91     -0.09      1.00      0.68      0.74     -0.00      1.66     -1.48      1.66
       -13    -10.21     -0.71      0.71      0.38      0.92      0.00      2.36     -0.79      2.36
    -12.09     -9.50     -1.00      0.07      0.04      1.00      0.00      3.07     -0.07      3.07
    -12.08     -9.49     -1.00      0.06      0.03      1.00      0.00      3.08     -0.06      3.08
    -12.07     -9.48     -1.00      0.05      0.03      1.00      0.00      3.09     -0.05      3.09
    -12.06     -9.47     -1.00      0.05      0.02      1.00      0.00      3.09     -0.05      3.09
    -12.05     -9.46     -1.00      0.04      0.02      1.00      0.00      3.10     -0.04      3.10
    -12.04     -9.46     -1.00      0.03      0.02      1.00      0.00      3.11     -0.03      3.11
    -12.03     -9.45     -1.00      0.02      0.01      1.00      0.00      3.12     -0.02      3.12
    -12.02     -9.44     -1.00      0.02      0.01      1.00      0.00      3.13     -0.02      3.13
