 # N           Trapezoidal-Value
  3           0.00791016
  5           0.00651979
  7           0.00648926
  9           0.00648664
 11           0.00648621
 13           0.00648611
 15           0.00648608
 17           0.00648606
 19           0.00648606
 21           0.00648606
 23           0.00648606
 25           0.00648606
 27           0.00648605
 29           0.00648605
 31           0.00648605
 33           0.00648605
 35           0.00648605
 37           0.00648605
 39           0.00648605
 41           0.00648605
 43           0.00648605
 45           0.00648605
 47           0.00648605
 49           0.00648605
 51           0.00648605
 53           0.00648605
 55           0.00648605
 57           0.00648605
 59           0.00648605
 61           0.00648605
 63           0.00648605
 65           0.00648605
 67           0.00648605
 69           0.00648605
 71           0.00648605
 73           0.00648605
 75           0.00648605
 77           0.00648605
 79           0.00648605
 81           0.00648605
 83           0.00648605
 85           0.00648605
 87           0.00648605
 89           0.00648605
 91           0.00648605
 93           0.00648605
 95           0.00648605
 97           0.00648605
 99           0.00648605
101           0.00648605
103           0.00648605
105           0.00648605
107           0.00648605
109           0.00648605
111           0.00648605
113           0.00648605
115           0.00648605
117           0.00648605
119           0.00648605
121           0.00648605
123           0.00648605
125           0.00648605
127           0.00648605
129           0.00648605
131           0.00648605
133           0.00648605
135           0.00648605
137           0.00648605
139           0.00648605
141           0.00648605
143           0.00648605
145           0.00648605
147           0.00648605
149           0.00648605
151           0.00648605
153           0.00648605
155           0.00648605
157           0.00648605
159           0.00648605
161           0.00648605
163           0.00648605
165           0.00648605
167           0.00648605
169           0.00648605
171           0.00648605
173           0.00648605
175           0.00648605
177           0.00648605
179           0.00648605
181           0.00648605
183           0.00648605
185           0.00648605
187           0.00648605
189           0.00648605
191           0.00648605
193           0.00648605
